run_id,dataset_key,dataset_name,target_column,scenario_family,missingness_type,mcar_scope,mar_dependency_column,mnar_driver_column,mcar_global_excluded_columns,rate_pct,seed,method_family,method_key,method_name,model_key,model_name,include_in_primary_leaderboard,include_in_secondary_full_matrix
R000155,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,404,classical,missforest,MissForest,,,True,False
R000156,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,404,classical,dae,DAE,,,True,False
R000157,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,505,classical,meanmode,Mean/Mode,,,True,False
R000158,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,505,classical,medianmode,Median/Mode,,,True,False
R000159,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,505,classical,mice,MICE,,,True,False
R000160,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,505,classical,missforest,MissForest,,,True,False
R000161,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,505,classical,dae,DAE,,,True,False
R000162,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000163,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000164,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,42,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000165,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000166,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000167,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,202,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000168,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,mistral,mistralai/Mistral-7B-Instruct-v0.3,True,False
R000169,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,llama,meta-llama/Llama-3.1-8B-Instruct,True,False
R000170,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,10,303,llm_finetuned,llm_finetuned,LLM Finetuned,qwen,Qwen/Qwen2.5-7B-Instruct,True,False
R000171,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,42,classical,meanmode,Mean/Mode,,,True,False
R000172,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,42,classical,medianmode,Median/Mode,,,True,False
R000173,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,42,classical,mice,MICE,,,True,False
R000174,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,42,classical,missforest,MissForest,,,True,False
R000175,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,42,classical,dae,DAE,,,True,False
R000176,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,202,classical,meanmode,Mean/Mode,,,True,False
R000177,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,202,classical,medianmode,Median/Mode,,,True,False
R000178,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,202,classical,mice,MICE,,,True,False
R000179,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,202,classical,missforest,MissForest,,,True,False
R000180,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,202,classical,dae,DAE,,,True,False
R000181,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,303,classical,meanmode,Mean/Mode,,,True,False
R000182,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,303,classical,medianmode,Median/Mode,,,True,False
R000183,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,303,classical,mice,MICE,,,True,False
R000184,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,303,classical,missforest,MissForest,,,True,False
R000185,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,303,classical,dae,DAE,,,True,False
R000186,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,404,classical,meanmode,Mean/Mode,,,True,False
R000187,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,404,classical,medianmode,Median/Mode,,,True,False
R000188,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,404,classical,mice,MICE,,,True,False
R000189,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,404,classical,missforest,MissForest,,,True,False
R000190,telco,Telco,TotalCharges,MCAR_TARGET,MCAR,target,,,,15,404,classical,dae,DAE,,,True,False
